timestamp,vehicle_id,route
900,vehicle_100017,-73 -47 -21 -7 3 14
900,vehicle_100018,-55 57 -131
900,vehicle_100019,-47 -21 -7 3 14 93
900,vehicle_100020,131 -57 55
1200,vehicle_10001,-93 -14 -3 7 25 86 119
1200,vehicle_10002,-73 -47 -21 -7 3 14 93
1200,vehicle_10003,-121 -86 78 -71 73
1200,vehicle_10004,-73 -47 -21 -7 3 14
1200,vehicle_10005,-121 -86 78 -50 48 -66
1200,vehicle_10006,-78 -25 -7 3 14 99
1200,vehicle_10007,-121 -86 78 -50 48 -66
1200,vehicle_10008,-47 -21 -7 3 14 93
1200,vehicle_10009,-55 57 -131
1200,vehicle_100010,-14 -3 9 55
1200,vehicle_100011,-99 -14 -3 7 25 86 119
1200,vehicle_100012,-55 -9 3 14
1200,vehicle_100013,-99 -14 -3 7 25 86 119
1200,vehicle_100014,-121 -86 -25 -7 3 14
1200,vehicle_100015,-55 57 -131
1200,vehicle_100016,131 -57 55
1200,vehicle_100017,-73 -47 -21 -7 3 14
1200,vehicle_100018,-55 57 -131
1200,vehicle_100019,-47 -21 -7 3 14 93
1200,vehicle_100020,131 -57 55
1500,vehicle_10001,-93 -14 -3 7 25 86 119
1500,vehicle_10002,-73 -47 -21 -7 3 14 93
1500,vehicle_10003,-121 -86 78 -71 73
1500,vehicle_10004,-73 -47 -21 -7 3 14
1500,vehicle_10005,-121 -86 78 -50 48 -66
1500,vehicle_10006,-78 -25 -7 3 14 99
1500,vehicle_10007,-121 -86 78 -50 48 -66
1500,vehicle_10008,-47 -21 -7 3 14 93
1500,vehicle_10009,-55 -9 3 14 99
1500,vehicle_100010,-14 -3 9 55
1500,vehicle_100011,-99 -14 -3 7 25 86 119
1500,vehicle_100012,-55 -9 3 14
1500,vehicle_100013,-99 -14 -3 7 25 86 119
1500,vehicle_100014,-121 -86 -25 -7 3 14
1500,vehicle_100015,-55 -9 3 14 99
1500,vehicle_100016,-99 -14 -3 9 55
1500,vehicle_100017,-73 -47 -21 -7 3 14
1500,vehicle_100018,-55 -9 3 14 99
1500,vehicle_100019,-47 -21 -7 3 14 93
1500,vehicle_100020,-99 -14 -3 9 55
1800,vehicle_10001,-93 -14 -3 7 25 86 119
1800,vehicle_10002,-73 -47 -21 -7 3 14 93
1800,vehicle_10003,-121 -86 78 -71 73
1800,vehicle_10004,-73 -47 -21 -7 3 14
1800,vehicle_10005,-121 -86 78 -50 48 -66
1800,vehicle_10006,-78 -25 -7 3 14 99
1800,vehicle_10007,-121 -86 78 -50 48 -66
1800,vehicle_10008,-47 -21 -7 3 14 93
1800,vehicle_10009,-55 -9 3 14 99
1800,vehicle_100010,-14 -3 9 55
1800,vehicle_100011,-99 -14 -3 7 25 86 119
1800,vehicle_100012,-55 -9 3 14
1800,vehicle_100013,-99 -14 -3 7 25 86 119
1800,vehicle_100014,-121 -86 -25 -7 3 14
1800,vehicle_100015,-55 -9 3 14 99
1800,vehicle_100016,-99 -14 -3 9 55
1800,vehicle_100017,-73 -47 -21 -7 3 14
1800,vehicle_100018,-55 -9 3 14 99
1800,vehicle_100019,-47 -21 -7 3 14 93
1800,vehicle_100020,-99 -14 -3 9 55
2100,vehicle_10001,-93 -14 -3 7 25 86 119
2100,vehicle_10002,-73 -47 -21 -7 3 14 93
2100,vehicle_10003,-121 -86 78 -71 73
2100,vehicle_10004,-73 -47 -21 -7 3 14
2100,vehicle_10005,-121 -86 -25 -7 5 17 41
2100,vehicle_10006,-78 -25 -7 3 14 99
2100,vehicle_10007,-121 -86 -25 -7 5 17 41
2100,vehicle_10008,-47 -21 -7 3 14 93
2100,vehicle_10009,-19 -7 3 14 99
2100,vehicle_100010,-14 -3 7 19
2100,vehicle_100011,-99 -14 -3 7 19 107 138 -121 119
2100,vehicle_100012,-19 -7 3 14
2100,vehicle_100013,-99 -14 -3 7 25 86 119
2100,vehicle_100014,-121 -86 -25 -7 3 14
2100,vehicle_100015,-19 -7 3 14 99
2100,vehicle_100016,-99 -14 -3 7 19
2100,vehicle_100017,-73 -47 -21 -7 3 14
2100,vehicle_100018,-19 -7 3 14 99
2100,vehicle_100019,-47 -21 -7 3 14 93
2100,vehicle_100020,-99 -14 -3 7 19
2400,vehicle_10001,-93 -14 -3 7 25 86 119
2400,vehicle_10002,-73 71 -78 -25 -7 3 14 93
2400,vehicle_10003,-121 -86 78 -71 73
2400,vehicle_10004,-73 71 -78 -25 -7 3 14
2400,vehicle_10005,-121 -86 -25 -7 5 17 41
2400,vehicle_10006,-78 -25 -7 3 14 99
2400,vehicle_10007,-121 -86 -25 -7 5 17 41
2400,vehicle_10008,71 -78 -25 -7 3 14 93
2400,vehicle_10009,-19 -7 3 14 99
2400,vehicle_100010,-14 -3 7 19
2400,vehicle_100011,-99 -14 -3 7 25 86 119
2400,vehicle_100012,-19 -7 3 14
2400,vehicle_100013,-99 -14 -3 7 25 86 119
2400,vehicle_100014,-121 -86 -25 -7 3 14
2400,vehicle_100015,-19 -7 3 14 99
2400,vehicle_100016,-99 -14 -3 7 19
2400,vehicle_100017,-73 71 -78 -25 -7 3 14
2400,vehicle_100018,-19 -7 3 14 99
2400,vehicle_100019,71 -78 -25 -7 3 14 93
2400,vehicle_100020,-99 -14 -3 7 19
2700,vehicle_10001,-93 -14 -3 7 25 86 119
2700,vehicle_10002,-73 71 -78 -25 -7 3 14 93
2700,vehicle_10003,-121 -86 78 -71 73
2700,vehicle_10004,-73 71 -78 -25 -7 3 14
2700,vehicle_10005,-121 -86 -25 -7 5 17 41
2700,vehicle_10006,-78 -25 -7 3 14 99
2700,vehicle_10007,-121 -86 -25 -7 5 17 41
2700,vehicle_10008,71 -78 -25 -7 3 14 93
2700,vehicle_10009,-19 -7 3 14 99
2700,vehicle_100010,-14 -3 7 19
2700,vehicle_100011,-99 -14 -3 7 25 86 119
2700,vehicle_100012,-19 -7 3 14
2700,vehicle_100013,-99 -14 -3 7 25 86 119
2700,vehicle_100014,-121 -86 -25 -7 3 14
2700,vehicle_100015,-19 -7 3 14 99
2700,vehicle_100016,-99 -14 -3 7 19
2700,vehicle_100017,-73 71 -78 -25 -7 3 14
2700,vehicle_100018,-19 -7 3 14 99
2700,vehicle_100019,71 -78 -25 -7 3 14 93
2700,vehicle_100020,-99 -14 -3 7 19
3000,vehicle_10001,-93 -14 -3 7 25 86 119
3000,vehicle_10002,-73 71 -78 -25 -7 3 14 93
3000,vehicle_10003,-121 -86 78 -71 73
3000,vehicle_10004,-73 71 -78 -25 -7 3 14
3000,vehicle_10005,-121 -86 78 -50 48 -66
3000,vehicle_10006,-78 -25 -7 3 14 99
3000,vehicle_10007,-121 -86 78 -50 48 -66
3000,vehicle_10008,71 -78 -25 -7 3 14 93
3000,vehicle_10009,-19 -7 3 14 99
3000,vehicle_100010,-14 -3 7 19
3000,vehicle_100011,-99 -14 -3 7 25 86 119
3000,vehicle_100012,-19 -7 3 14
3000,vehicle_100013,-99 -14 -3 7 25 86 119
3000,vehicle_100014,-121 -86 -25 -7 3 14
3000,vehicle_100015,-19 -7 3 14 99
3000,vehicle_100016,-99 -14 -3 7 19
3000,vehicle_100017,-73 71 -78 -25 -7 3 14
3000,vehicle_100018,-19 -7 3 14 99
3000,vehicle_100019,71 -78 -25 -7 3 14 93
3000,vehicle_100020,-99 -14 -3 7 19
3300,vehicle_10001,-93 -14 -3 7 25 86 119
3300,vehicle_10002,-73 71 -78 -25 -7 3 14 93
3300,vehicle_10003,-121 -86 78 -71 73
3300,vehicle_10004,-73 71 -78 -25 -7 3 14
3300,vehicle_10005,-121 -86 -25 -7 5 17 41
3300,vehicle_10006,-78 -25 -7 3 14 99
3300,vehicle_10007,-121 -86 -25 -7 5 17 41
3300,vehicle_10008,71 -78 -25 -7 3 14 93
3300,vehicle_10009,-19 -7 3 14 99
3300,vehicle_100010,-14 -3 7 19
3300,vehicle_100011,-99 -14 -3 7 25 86 119
3300,vehicle_100012,-19 -7 3 14
3300,vehicle_100013,-99 -14 -3 7 25 86 119
3300,vehicle_100014,-121 -86 -25 -7 3 14
3300,vehicle_100015,-19 -7 3 14 99
3300,vehicle_100016,-99 -14 -3 7 19
3300,vehicle_100017,-73 71 -78 -25 -7 3 14
3300,vehicle_100018,-19 -7 3 14 99
3300,vehicle_100019,71 -78 -25 -7 3 14 93
3300,vehicle_100020,-99 -14 -3 7 19
3600,vehicle_10001,-93 -14 -3 7 25 86 119
3600,vehicle_10002,-73 71 -78 -25 -7 3 14 93
3600,vehicle_10003,-121 -86 78 -71 73
3600,vehicle_10004,-73 71 -78 -25 -7 3 14
3600,vehicle_10005,-121 -86 78 -50 48 -66
3600,vehicle_10006,-78 -25 -7 3 14 99
3600,vehicle_10007,-121 -86 78 -50 48 -66
3600,vehicle_10008,71 -78 -25 -7 3 14 93
3600,vehicle_10009,-19 -7 3 14 99
3600,vehicle_100010,-14 -3 7 19
3600,vehicle_100011,-99 -14 -3 7 25 86 119
3600,vehicle_100012,-19 -7 3 14
3600,vehicle_100013,-99 -14 -3 7 25 86 119
3600,vehicle_100014,-121 -86 -25 -7 3 14
3600,vehicle_100015,-19 -7 3 14 99
3600,vehicle_100016,-99 -14 -3 7 19
3600,vehicle_100017,-73 71 -78 -25 -7 3 14
3600,vehicle_100018,-19 -7 3 14 99
3600,vehicle_100019,71 -78 -25 -7 3 14 93
3600,vehicle_100020,-99 -14 -3 7 19
3900,vehicle_10001,-93 -14 -3 7 25 86 119
3900,vehicle_10002,-73 71 -78 -25 -7 3 14 93
3900,vehicle_10003,-121 -86 78 -71 73
3900,vehicle_10004,-73 71 -78 -25 -7 3 14
3900,vehicle_10005,-121 -86 78 -50 48 -66
3900,vehicle_10006,-78 -25 -7 3 14 99
3900,vehicle_10007,-121 -86 78 -50 48 -66
3900,vehicle_10008,71 -78 -25 -7 3 14 93
3900,vehicle_10009,-55 57 -131
3900,vehicle_100010,-14 -3 9 55
3900,vehicle_100011,-99 -14 -3 7 25 86 119
3900,vehicle_100012,-55 -9 3 14
3900,vehicle_100013,-99 -14 -3 7 25 86 119
3900,vehicle_100014,-121 -86 -25 -7 3 14
3900,vehicle_100015,-55 57 -131
3900,vehicle_100016,131 -57 55
3900,vehicle_100017,-73 71 -78 -25 -7 3 14
3900,vehicle_100018,-55 57 -131
3900,vehicle_100019,71 -78 -25 -7 3 14 93
3900,vehicle_100020,131 -57 55
4200,vehicle_10001,-93 -14 -3 7 25 86 119
4200,vehicle_10002,-73 71 -78 -25 -7 3 14 93
4200,vehicle_10003,-121 -86 78 -71 73
4200,vehicle_10004,-73 71 -78 -25 -7 3 14
4200,vehicle_10005,-121 -86 -25 -7 5 17 41
4200,vehicle_10006,-78 -25 -7 3 14 99
4200,vehicle_10007,-121 -86 -25 -7 5 17 41
4200,vehicle_10008,71 -78 -25 -7 3 14 93
4200,vehicle_10009,-55 57 -131
4200,vehicle_100010,-14 -3 9 55
4200,vehicle_100011,-99 -14 -3 7 25 86 119
4200,vehicle_100012,-55 -9 3 14
4200,vehicle_100013,-99 -14 -3 7 25 86 119
4200,vehicle_100014,-121 -86 -25 -7 3 14
4200,vehicle_100015,-55 57 -131
4200,vehicle_100016,131 -57 55
4200,vehicle_100017,-73 71 -78 -25 -7 3 14
4200,vehicle_100018,-55 57 -131
4200,vehicle_100019,71 -78 -25 -7 3 14 93
4200,vehicle_100020,131 -57 55
4500,vehicle_10001,-93 -14 -3 7 25 86 119
4500,vehicle_10002,-73 -47 -21 -7 3 14 93
4500,vehicle_10003,-121 -86 78 -71 73
4500,vehicle_10004,-73 -47 -21 -7 3 14
4500,vehicle_10005,-121 -86 -25 -7 5 17 41
4500,vehicle_10006,-78 -25 -7 3 14 99
4500,vehicle_10007,-121 -86 -25 -7 5 17 41
4500,vehicle_10008,-47 -21 -7 3 14 93
4500,vehicle_10009,-55 57 -131
4500,vehicle_100010,91 -57 55
4500,vehicle_100011,-99 -14 -3 7 25 86 119
4500,vehicle_100012,-55 57 -91
4500,vehicle_100013,-99 -14 -3 7 25 86 119
4500,vehicle_100014,-121 -86 -25 -7 3 14
4500,vehicle_100015,-55 57 -131
4500,vehicle_100016,131 -57 55
4500,vehicle_100017,-73 -47 -21 -7 3 14
4500,vehicle_100018,-55 57 -131
4500,vehicle_100019,-47 -21 -7 3 14 93
4500,vehicle_100020,131 -57 55
4800,vehicle_10001,-93 -14 -3 7 25 86 119
4800,vehicle_10002,-73 -47 -21 -7 3 14 93
4800,vehicle_10003,-121 -86 78 -71 73
4800,vehicle_10004,-73 -47 -21 -7 3 14
4800,vehicle_10005,-121 -86 -25 -7 5 17 41
4800,vehicle_10006,-78 -25 -7 3 14 99
4800,vehicle_10007,-121 -86 -25 -7 5 17 41
4800,vehicle_10008,-47 -21 -7 3 14 93
4800,vehicle_10009,-55 57 -131
4800,vehicle_100010,91 -57 55
4800,vehicle_100011,-99 -14 -3 7 25 86 119
4800,vehicle_100012,-55 57 -91
4800,vehicle_100013,-99 -14 -3 7 25 86 119
4800,vehicle_100014,-121 -86 -25 -7 3 14
4800,vehicle_100015,-55 57 -131
4800,vehicle_100016,131 -57 55
4800,vehicle_100017,-73 -47 -21 -7 3 14
4800,vehicle_100018,-55 57 -131
4800,vehicle_100019,-47 -21 -7 3 14 93
4800,vehicle_100020,131 -57 55
5100,vehicle_10001,-93 -14 -3 7 25 86 119
5100,vehicle_10002,-73 71 -78 -25 -7 3 14 93
5100,vehicle_10003,-121 -86 78 -71 73
5100,vehicle_10004,-73 71 -78 -25 -7 3 14
5100,vehicle_10005,-121 -86 -25 -7 5 17 41
5100,vehicle_10006,-78 -25 -7 3 14 99
5100,vehicle_10007,-121 -86 -25 -7 5 17 41
5100,vehicle_10008,-47 -21 -7 3 14 93
5100,vehicle_10009,-55 57 -131
5100,vehicle_100010,-14 -3 7 19
5100,vehicle_100011,-99 -14 -3 7 25 86 119
5100,vehicle_100012,-19 -7 3 14
5100,vehicle_100013,-99 -14 -3 7 25 86 119
5100,vehicle_100014,-121 -86 -25 -7 3 14
5100,vehicle_100015,-55 57 -131
5100,vehicle_100016,131 -57 55
5100,vehicle_100017,-73 71 -78 -25 -7 3 14
5100,vehicle_100018,-55 57 -131
5100,vehicle_100019,71 -78 -25 -7 3 14 93
5100,vehicle_100020,131 -57 55
5400,vehicle_10001,-93 -14 -3 7 25 86 119
5400,vehicle_10002,-73 -47 -21 -7 3 14 93
5400,vehicle_10003,-121 -86 78 -71 73
5400,vehicle_10004,-73 -47 -21 -7 3 14
5400,vehicle_10005,-121 -86 -25 -7 5 17 41
5400,vehicle_10006,-78 -25 -7 3 14 99
5400,vehicle_10007,-121 -86 -25 -7 5 17 41
5400,vehicle_10008,-47 -21 -7 3 14 93
5400,vehicle_10009,-19 -7 3 14 99
5400,vehicle_100010,-14 -3 7 19
5400,vehicle_100011,-99 -14 -3 7 25 86 119
5400,vehicle_100012,-19 -7 3 14
5400,vehicle_100013,-99 -14 -3 7 25 86 119
5400,vehicle_100014,-121 -86 -25 -7 3 14
5400,vehicle_100015,-19 -7 3 14 99
5400,vehicle_100016,-99 -14 -3 7 19
5400,vehicle_100017,-73 -47 -21 -7 3 14
5400,vehicle_100018,-19 -7 3 14 99
5400,vehicle_100019,-47 -21 -7 3 14 93
5400,vehicle_100020,-99 -14 -3 7 19
5700,vehicle_10001,-93 -14 -3 7 25 86 119
5700,vehicle_10002,-73 71 -78 -25 -7 3 14 93
5700,vehicle_10003,-121 -86 78 -71 73
5700,vehicle_10004,-73 71 -78 -25 -7 3 14
5700,vehicle_10005,-121 -86 -25 -7 5 17 41
5700,vehicle_10006,-78 -25 -7 3 14 99
5700,vehicle_10007,-121 -86 -25 -7 5 17 41
5700,vehicle_10008,71 -78 -25 -7 3 14 93
5700,vehicle_10009,-19 -7 3 14 99
5700,vehicle_100010,-14 -3 7 19
5700,vehicle_100011,-99 -14 -3 7 25 86 119
5700,vehicle_100012,-19 -7 3 14
5700,vehicle_100013,-99 -14 -3 7 25 86 119
5700,vehicle_100014,-121 -86 -25 -7 3 14
5700,vehicle_100015,-19 -7 3 14 99
5700,vehicle_100016,-99 -14 -3 7 19
5700,vehicle_100017,-73 71 -78 -25 -7 3 14
5700,vehicle_100018,-19 -7 3 14 99
5700,vehicle_100019,71 -78 -25 -7 3 14 93
5700,vehicle_100020,-99 -14 -3 7 19
6000,vehicle_10001,-93 -14 -3 7 25 80 -117 119
6000,vehicle_10002,-73 -47 -21 -7 3 14 93
6000,vehicle_10003,-121 -86 78 -71 73
6000,vehicle_10004,-73 -47 -21 -7 3 14
6000,vehicle_10005,-121 -86 -25 -7 5 17 41
6000,vehicle_10006,-78 -25 -7 3 14 99
6000,vehicle_10007,-121 -86 -25 -7 5 17 41
6000,vehicle_10008,-47 -21 -7 3 14 93
6000,vehicle_10009,-19 -7 3 14 99
6000,vehicle_100010,-14 -3 7 19
6000,vehicle_100011,-99 -14 -3 7 25 86 119
6000,vehicle_100012,-19 -7 3 14
6000,vehicle_100013,-99 -14 -3 7 25 86 119
6000,vehicle_100014,-121 -86 -25 -7 3 14
6000,vehicle_100015,-19 -7 3 14 99
6000,vehicle_100016,-99 -14 -3 7 19
6000,vehicle_100017,-73 -47 -21 -7 3 14
6000,vehicle_100018,-19 -7 3 14 99
6000,vehicle_100019,-47 -21 -7 3 14 93
6000,vehicle_100020,-99 -14 -3 7 19
6300,vehicle_10001,-93 -14 -3 7 25 86 119
6300,vehicle_10002,-73 -47 -21 -7 3 14 93
6300,vehicle_10003,-121 -86 78 -71 73
6300,vehicle_10004,-73 -47 -21 -7 3 14
6300,vehicle_10005,-121 -86 -25 21 48 -66
6300,vehicle_10006,-78 -25 -7 3 14 99
6300,vehicle_10007,-121 -86 -25 21 48 -66
6300,vehicle_10008,-47 -21 -7 3 14 93
6300,vehicle_10009,-19 -7 3 14 99
6300,vehicle_100010,-14 -3 7 19
6300,vehicle_100011,-99 -14 -3 7 25 86 119
6300,vehicle_100012,-19 -7 3 14
6300,vehicle_100013,-99 -14 -3 7 25 86 119
6300,vehicle_100014,-121 -86 -25 -7 3 14
6300,vehicle_100015,-19 -7 3 14 99
6300,vehicle_100016,-99 -14 -3 7 19
6300,vehicle_100017,-73 -47 -21 -7 3 14
6300,vehicle_100018,-19 -7 3 14 99
6300,vehicle_100019,-47 -21 -7 3 14 93
6300,vehicle_100020,-99 -14 -3 7 19
6600,vehicle_10001,-93 -14 -3 7 25 86 119
6600,vehicle_10002,-73 -47 -21 -7 3 14 93
6600,vehicle_10003,-121 -86 78 -71 73
6600,vehicle_10004,-73 -47 -21 -7 3 14
6600,vehicle_10005,-121 -86 -25 21 48 -66
6600,vehicle_10006,-78 -25 -7 3 14 99
6600,vehicle_10007,-121 -86 -25 21 48 -66
6600,vehicle_10008,-47 -21 -7 3 14 93
6600,vehicle_10009,-19 -7 3 14 99
6600,vehicle_100010,-14 -3 7 19
6600,vehicle_100011,-99 -14 -3 7 25 86 119
6600,vehicle_100012,-19 -7 3 14
6600,vehicle_100013,-99 -14 -3 7 25 86 119
6600,vehicle_100014,-121 -86 -25 -7 3 14
6600,vehicle_100015,-19 -7 3 14 99
6600,vehicle_100016,-99 -14 -3 7 19
6600,vehicle_100017,-73 -47 -21 -7 3 14
6600,vehicle_100018,-19 -7 3 14 99
6600,vehicle_100019,-47 -21 -7 3 14 93
6600,vehicle_100020,-99 -14 -3 7 19
6900,vehicle_10001,-93 -14 -3 7 25 86 119
6900,vehicle_10002,-73 -47 -21 -7 3 14 93
6900,vehicle_10003,-121 -86 78 -71 73
6900,vehicle_10004,-73 -47 -21 -7 3 14
6900,vehicle_10005,-121 -86 -25 -7 5 17 41
6900,vehicle_10006,-78 -25 -7 3 14 99
6900,vehicle_10007,-121 -86 -25 -7 5 17 41
6900,vehicle_10008,-47 -21 -7 3 14 93
6900,vehicle_10009,-19 -7 3 14 99
6900,vehicle_100010,-14 -3 7 19
6900,vehicle_100011,-99 -14 -3 7 25 86 119
6900,vehicle_100012,-19 -7 3 14
6900,vehicle_100013,-99 -14 -3 7 25 86 119
6900,vehicle_100014,-121 -86 -25 -7 3 14
6900,vehicle_100015,-19 -7 3 14 99
6900,vehicle_100016,-99 -14 -3 7 19
6900,vehicle_100017,-73 -47 -21 -7 3 14
6900,vehicle_100018,-19 -7 3 14 99
6900,vehicle_100019,-47 -21 -7 3 14 93
6900,vehicle_100020,-99 -14 -3 7 19
7200,vehicle_10001,-93 -14 -3 7 25 86 119
7200,vehicle_10002,-73 71 -78 -25 -7 3 14 93
7200,vehicle_10003,-121 -86 78 -71 73
7200,vehicle_10004,-73 71 -78 -25 -7 3 14
7200,vehicle_10005,-121 -86 -25 -7 5 17 41
7200,vehicle_10006,-78 -25 -7 3 14 99
7200,vehicle_10007,-121 -86 -25 -7 5 17 41
7200,vehicle_10008,71 -78 -25 -7 3 14 93
7200,vehicle_10009,-19 -7 3 14 99
7200,vehicle_100010,-14 -3 7 19
7200,vehicle_100011,-99 -14 -3 7 25 86 119
7200,vehicle_100012,-19 -7 3 14
7200,vehicle_100013,-99 -14 -3 7 25 86 119
7200,vehicle_100014,-121 -86 -25 -7 3 14
7200,vehicle_100015,-19 -7 3 14 99
7200,vehicle_100016,-99 -14 -3 7 19
7200,vehicle_100017,-73 71 -78 -25 -7 3 14
7200,vehicle_100018,-19 -7 3 14 99
7200,vehicle_100019,71 -78 -25 -7 3 14 93
7200,vehicle_100020,-99 -14 -3 7 19
7500,vehicle_10001,-93 -14 -3 7 25 86 119
7500,vehicle_10002,-73 71 -78 -25 -7 3 14 93
7500,vehicle_10003,-121 -86 78 -71 73
7500,vehicle_10004,-73 71 -78 -25 -7 3 14
7500,vehicle_10005,-121 -86 -25 -7 5 17 41
7500,vehicle_10006,-78 -25 -7 3 14 99
7500,vehicle_10007,-121 -86 -25 -7 5 17 41
7500,vehicle_10008,71 -78 -25 -7 3 14 93
7500,vehicle_10009,-55 57 -131
7500,vehicle_100010,-14 -3 7 19
7500,vehicle_100011,-99 -14 -3 7 25 86 119
7500,vehicle_100012,-19 -7 3 14
7500,vehicle_100013,-99 -14 -3 7 25 80 -117 119
7500,vehicle_100014,-121 -86 -25 -7 3 14
7500,vehicle_100015,-55 57 -131
7500,vehicle_100016,131 -57 55
7500,vehicle_100017,-73 71 -78 -25 -7 3 14
7500,vehicle_100018,-55 57 -131
7500,vehicle_100019,71 -78 -25 -7 3 14 93
7500,vehicle_100020,131 -57 55
7800,vehicle_10001,-93 -14 -3 7 25 86 119
7800,vehicle_10002,-73 71 -78 -25 -7 3 14 93
7800,vehicle_10003,-121 -86 78 -71 73
7800,vehicle_10004,-73 71 -78 -25 -7 3 14
7800,vehicle_10005,-121 -86 -25 -7 5 17 41
7800,vehicle_10006,-78 -25 -7 3 14 99
7800,vehicle_10007,-121 -86 -25 -7 5 17 41
7800,vehicle_10008,71 -78 -25 -7 3 14 93
7800,vehicle_10009,-55 57 -131
7800,vehicle_100010,-14 -3 9 55
7800,vehicle_100011,-99 -14 -3 7 25 86 119
7800,vehicle_100012,-55 -9 3 14
7800,vehicle_100013,-99 -14 -3 7 25 86 119
7800,vehicle_100014,-121 -86 -25 -7 3 14
7800,vehicle_100015,-55 57 -131
7800,vehicle_100016,131 -57 55
7800,vehicle_100017,-73 71 -78 -25 -7 3 14
7800,vehicle_100018,-55 57 -131
7800,vehicle_100019,71 -78 -25 -7 3 14 93
7800,vehicle_100020,131 -57 55
8100,vehicle_10001,-93 -14 -3 7 25 86 119
8100,vehicle_10002,-73 71 -78 -25 -7 3 14 93
8100,vehicle_10003,-121 -86 78 -71 73
8100,vehicle_10004,-73 71 -78 -25 -7 3 14
8100,vehicle_10005,-121 -86 -25 -7 5 17 41
8100,vehicle_10006,-78 -25 -7 3 14 99
8100,vehicle_10007,-121 -86 -25 -7 5 17 41
8100,vehicle_10008,71 -78 -25 -7 3 14 93
8100,vehicle_10009,-55 57 -131
8100,vehicle_100010,-14 -3 9 55
8100,vehicle_100011,-99 -14 -3 7 25 86 119
8100,vehicle_100012,-55 -9 3 14
8100,vehicle_100013,-99 -14 -3 7 25 86 119
8100,vehicle_100014,-121 -86 -25 -7 3 14
8100,vehicle_100015,-55 57 -131
